Game,Game ID,XGF,XGA,XG,SF,SA,SD,NF+,NF-,NFD,Odd+,Odd-,OddD,A+,A-,AD,CE,UE,CES,UES,Rush,Fore,Cycle,Faceoff,X,CEX,GF,GA,Result,Even Strength Time ,GFMod,GAMod,PPT,SHT,ST Imp,Controlled Entry Rate,OddF/60,OddA/60,CE/60,UE/60,Rush/60,Fore/60,Cycle/60,Faceoff/60,NFF/60,NFA/60
Brock,1,1.57,1.85,-0.28,30,29,1,4,6,-2,5,11,-6,8,11,-3,24,23,0.54,0.09,8,8,6,6,0.71,0.47,4,5,L,44,3,4,6.03,7.46,0,0.510638298,6.818181818,15,32.72727273,31.36363636,10.90909091,10.90909091,8.181818182,8.181818182,5.454545455,8.181818182
Western ,2,1.63,2.1,-0.47,22,37,-15,7,17,-10,7,5,2,8,11,-3,23,26,0.7,0.19,12,11,4,5,0.63,0.26,4,1,W,51.33,1,1,1.54,6,2,0.469387755,8.182349503,5.844535359,26.88486265,30.39158387,14.02688486,12.85797779,4.675628288,5.844535359,8.182349503,19.87142022
UQTR,3,2.1,3.8,-1.7,36,51,-15,2,8,-6,3,7,-4,7,14,-7,22,29,0.45,0.2,11,8,0,1,0.66,0.37,4,5,T,47.2,2,3,5.47,13.45,0,0.431372549,3.813559322,8.898305085,27.96610169,36.86440678,13.98305085,10.16949153,0,1.271186441,2.542372881,10.16949153
Guelph1,4,1.41,2.6,-1.19,22,38,-16,4,8,-4,0,8,-8,4,17,-13,13,41,0.53,0.09,5,5,5,1,0.67,0.45,2,5,L,50.42,1,1,4,4.56,-2,0.240740741,0,9.520031733,15.47005157,48.79016263,5.950019833,5.950019833,5.950019833,1.190003967,4.760015867,9.520031733
Guelph2,5,1.42,2.5,-1.08,25,40,-15,4,2,2,5,11,-6,2,16,-14,19,33,0.47,0.12,7,4,6,1,0.66,0.42,3,4,L,43.63,3,4,4.17,11.12,0,0.365384615,6.87600275,15.12720605,26.12881045,45.38161815,9.626403851,5.5008022,8.2512033,1.37520055,5.5008022,2.7504011
Laurier1,6,2.9,1.19,1.71,43,37,6,8,7,1,3,9,-6,10,7,3,27,29,0.81,0.27,16,12,4,6,0.74,0.49,6,5,T,45.17,3,2,9.54,5,0,0.482142857,3.98494576,11.95483728,35.86451184,38.52114235,21.25304406,15.93978304,5.313261014,7.969891521,10.62652203,9.298206774
Brock1,7,2.8,5.2,-2.4,26,48,-22,3,12,-9,5,3,2,12,16,-4,21,33,0.57,0.47,7,15,4,1,0.72,0.39,5,3,W,44.82,3,1,3.03,11.08,-1,0.388888889,6.693440428,4.016064257,28.1124498,44.17670683,9.3708166,20.08032129,5.354752343,1.338688086,4.016064257,16.06425703
UofT,8,3.06,2.6,0.46,30,37,-7,3,11,-8,11,3,8,18,12,6,20,17,0.6,0.12,8,6,4,2,0.72,0.39,7,4,W,30.22,3,0,6.02,10.19,0,0.540540541,21.83984116,5.956320318,39.70880212,33.7524818,15.88352085,11.91264064,7.941760424,3.970880212,5.956320318,21.83984116
TMU,9,1,3.2,-2.2,26,43,-17,7,6,1,4,2,2,6,9,-3,19,30,0.32,0.3,3,13,1,2,0.79,0.4,4,5,L,45.03,1,2,4.48,9,0,0.387755102,5.329780147,2.664890073,25.3164557,39.9733511,3.99733511,17.32178548,1.332445037,2.664890073,9.327115256,7.99467022
Windsor,10,1.49,2.4,-0.91,19,36,-17,2,11,-9,4,5,-1,6,5,1,28,36,0.57,0.17,10,14,0,0,0.67,0.33,1,4,L,53.43,0,3,0.46,4.26,0,0.4375,4.491858506,5.614823133,31.44300955,40.42672656,11.22964627,15.72150477,0,0,2.245929253,12.35261089
